,Branch,Barangay,Latitude,Longitude,Population,Mean_iat,Area_sqm
0,"BPI Katipunan Loyola Heights 325 Miranda Building, Fabian De La Rosa Katipunan Avenue",Loyola Heights,14.6401984,121.0742878,21140,4.54115421,180
1,"BPI Blue Ridge Bonny Serrano 175 Citigold Plaza, Katipunan Avenue",Bayanihan,14.6157534,121.0701073,613,156.6068515,165
2,"BPI Loyola Heights 317 FBR Arcade, Katipunan Avenue",Loyola Heights,14.6390686,121.0742228,21140,4.54115421,180
3,"BPI Cubao Aurora, Aurora Boulevard",E. Rodriguez,14.6236143,121.0539746,17363,5.528998445,260
4,"BPI Timog-Circle, Timog Avenue",South Triangle,14.6366666,121.0281416,14494,6.623430385,150
5,"BPI E. Rodriguez - Acropolis,",Bagumbayan,14.6034851,121.0788292,22147,4.334672868,255
6,"BPI Eastwood One Lafayette, Eastwood Avenue",Bagumbayan,14.6086947,121.0798084,22147,4.334672868,255
7,"BPI West Avenue-Del Monte, West Avenue",Nayong Kanluran,14.6419105,121.0265289,2456,39.08794788,120
8,"BPI Family Savings Bank, P. Tuazon Boulevard",Socorro,14.6181896,121.056727,22227,4.3190714,255
9,"BPI Family Savings Bank, Colonel Boni Serrano Avenue",Bagong Lipunan Ng Crame,14.6093739,121.0483153,13630,7.043286867,145
10,"BPI Family Savings Bank, Roosevelt Avenue",San Antonio,14.653897,121.0186601,22229,4.318682802,180
11,"BPI UP Technohub,",UP Campus,14.6570027,121.0561102,47127,2.037048826,290
12,"BPI, EDSA",Ramon Magsaysay,14.657926,121.0208618,14321,6.703442497,240
13,"BPI Cubao F. Castillo, Aurora Boulevard",Marilag,14.6280704,121.0667237,12555,7.646356033,225
14,"BPI West Avenue - Baler 105, West Avenue",Bungad,14.6502799,121.028571,7014,13.68691189,120
15,"BPI West Avenue - West Triangle 60 Veria, West Avenue",West Triangle,14.6440877,121.0275881,2431,39.48992184,120
16,"BPI Acropolis 193 KAVI Building, E. Rodriguez Jr. Avenue",Bagumbayan,14.6085341,121.0772319,22147,4.334672868,180
17,"BPI Villa Ortigas Villa Ortigas 2, Senator Jose O. Vera Street",Valencia,14.607844,121.0391121,10900,8.80733945,185
18,"BPI E. Rodriguez B.G. Belmonte 1466-1468, E. Rodriguez Sr. Avenue",Immaculate Concepcion,14.6243848,121.038155,8169,11.7517444,120
19,"BPI Roosevelt Del Monte, Fernando Poe Jr. Avenue",Del Monte,14.6405635,121.0166157,10595,9.060877773,130
20,"BPI Shopwise Libis - Express Banking Center 150 Shopwise, E. Rodriguez Jr. Avenue",Bagumbayan,14.6039421,121.0800065,22147,4.334672868,255
21,"BPI E. Rodriguez Bagumbayan MDC 100, E. Rodriguez Jr. Avenue",Bagumbayan,14.6077679,121.0791037,22147,4.334672868,180
22,"BPI 235, Fernando Poe Jr. Avenue",San Antonio,14.6463671,121.0176816,22229,4.318682802,180
23,"BPI Kamuning, Scout Delgado Tomas Morato Avenue",Laging Handa,14.6303294,121.0340757,4812,19.95012469,120
24,"BPI Family Savings Bank, Don Alejandro Roces Avenue",Paligsahan,14.6327021,121.0202192,3518,27.28823195,120
25,"BPI Aurora - Hemady 711 Santander Building, Doña Hemady Aurora Boulevard",Mariana,14.6153309,121.0369851,11967,8.022060667,220
26,"BPI, Quirino Highway",San Bartolome,14.7000154,121.0346594,51148,1.876906233,210
27,"BPI V. Luna - Kalayaan, V. Luna Road",Pinyahan,14.6364468,121.0540206,21868,4.389976221,255
28,"BPI UP Village Maginhawa, 63 Maginhawa",UP Village,14.6481654,121.0571618,3167,30.31259867,165
29,"BPI, Quirino Highway",Talipapa,14.6818314,121.0206716,38949,2.464761611,210
30,"BPI Mayon-Dapitan, Mayon Street",Santa Teresita,14.6220247,120.9994936,11776,8.152173913,190
31,"BPI E. Rodriguez - Hemady 269 Hemady Square, E. Rodriguez Sr. Avenue",Kristong Hari,14.6241865,121.031692,6055,15.85466557,120
32,"BPI Family Savings Bank,",South Triangle,14.6402292,121.0316291,14494,6.623430385,210
33,"BPI Eastwood City International Centre of Information Technology Education, Orchard Road",Bagumbayan,14.6110809,121.0803881,22147,4.334672868,255
34,"BPI Manhattan, Cubao, Quezon City, General Roxas",Socorro,14.6228809,121.0556949,22227,4.3190714,255
35,"BPI 4F Ali Mall, General Romulo Avenue",Socorro,14.6191934,121.057116,22227,4.3190714,230
36,"BPI North EDSA 75, EDSA Corregidor Street",Ramon Magsaysay,14.6571856,121.0243269,14321,6.703442497,240
37,"BPI Family Savings Bank, N. S. Amoranto Sr. Avenue",Paang Bundok,14.6270868,120.992231,4806,19.97503121,120
38,"BPI BPI Edsa Kamuning, Kamuning Road",Kamuning,14.6301172,121.0428055,14258,6.733062141,240
39,"BPI, Timog Avenue",Sacred Heart,14.6334061,121.0410372,6089,15.76613565,120
40,"BPI, Congressional Avenue",Bahay Toro,14.6661427,121.0314575,59639,1.609684938,210
41,"BPI, Quezon Avenue",Lourdes,14.6212504,121.0052014,4523,21.22485076,120
42,"BPI Cubao Annapolis, Annapolis",E. Rodriguez,14.6227855,121.0512927,17363,5.528998445,230
43,"BPI Family Bank, Anonas Street",East Kamias,14.633901,121.0591616,6395,15.01172791,165
44,"BPI, E. Rodriguez Sr. Avenue",Don Manuel,14.6178476,121.0041389,1728,55.55555556,120
45,"BPI, Quezon Avenue",Doña Josefa,14.6192526,121.0036815,1857,51.69628433,120
