Name,Status,Population
Alicia,Barangay,"6,119"
Amihan,Barangay,"3,513"
Apolonio Samson,Barangay,"33,629"
Aurora,Barangay,"4,221"
Baesa,Barangay,"55,328"
Bagbag,Barangay,"64,653"
Bagong Lipunan Ng Crame,Barangay,"13,630"
Bagong Pag-asa,Barangay,"29,389"
Bagong Silangan,Barangay,"106,886"
Bagumbayan,Barangay,"22,147"
Bagumbuhay,Barangay,"6,681"
Bahay Toro,Barangay,"59,639"
Balingasa,Barangay,"19,260"
Balong Bato,Barangay,"6,991"
Batasan Hills,Barangay,"166,572"
Bayanihan,Barangay,613
Blue Ridge A,Barangay,"1,534"
Blue Ridge B,Barangay,"1,071"
Botocan,Barangay,"7,501"
Bungad,Barangay,"7,014"
Camp Aguinaldo,Barangay,"3,269"
Capri,Barangay,"12,903"
Central,Barangay,"19,331"
Claro,Barangay,"3,885"
Commonwealth,Barangay,"213,229"
Culiat,Barangay,"67,804"
Damar,Barangay,952
Damayan,Barangay,"6,007"
Damayang Lagi,Barangay,"19,466"
Del Monte,Barangay,"10,595"
Dioquino Zobel,Barangay,"1,805"
Doña Imelda,Barangay,"11,724"
Doña Josefa,Barangay,"1,857"
Don Manuel,Barangay,"1,728"
Duyan-Duyan,Barangay,"3,357"
East Kamias,Barangay,"6,395"
E. Rodriguez,Barangay,"17,363"
Escopa I,Barangay,"2,110"
Escopa II,Barangay,"1,683"
Escopa III,Barangay,"7,985"
Escopa IV,Barangay,"1,837"
Fairview,Barangay,"61,813"
Greater Lagro,Barangay,"23,569"
Gulod,Barangay,"62,542"
Holy Spirit,Barangay,"111,901"
Horseshoe,Barangay,"2,866"
Immaculate Concepcion,Barangay,"8,169"
Kaligayahan,Barangay,"60,462"
Kalusugan,Barangay,"4,786"
Kamuning,Barangay,"14,258"
Katipunan,Barangay,"10,508"
Kaunlaran,Barangay,"12,387"
Kristong Hari,Barangay,"6,055"
Krus Na Ligas,Barangay,"21,287"
Laging Handa,Barangay,"4,812"
Libis,Barangay,"4,208"
Lourdes,Barangay,"4,523"
Loyola Heights,Barangay,"21,140"
Maharlika,Barangay,"4,349"
Malaya,Barangay,"2,605"
Mangga,Barangay,913
Manresa,Barangay,"17,224"
Mariana,Barangay,"11,967"
Mariblo,Barangay,"3,433"
Marilag,Barangay,"12,555"
Masagana,Barangay,"4,166"
Masambong,Barangay,"8,800"
Matandang Balara,Barangay,"69,475"
Milagrosa,Barangay,"6,775"
Nagkaisang Nayon,Barangay,"53,781"
Nayong Kanluran,Barangay,"2,456"
New Era (Constitution Hills),Barangay,"14,105"
North Fairview,Barangay,"44,408"
Novaliches Proper,Barangay,"15,468"
N. S. Amoranto (Gintong Silahis),Barangay,"5,952"
Obrero,Barangay,"9,500"
Old Capitol Site,Barangay,"1,319"
Paang Bundok,Barangay,"4,806"
Pag-ibig Sa Nayon,Barangay,"5,918"
Paligsahan,Barangay,"3,518"
Paltok,Barangay,"18,124"
Pansol,Barangay,"35,254"
Paraiso,Barangay,"3,537"
Pasong Putik Proper (Pasong Putik),Barangay,"39,896"
Pasong Tamo,Barangay,"110,738"
Payatas,Barangay,"139,740"
Phil-Am,Barangay,"2,524"
Pinagkaisahan,Barangay,"4,366"
Pinyahan,Barangay,"21,868"
Project 6,Barangay,"11,899"
Quirino 2-A,Barangay,"4,622"
Quirino 2-B,Barangay,"3,938"
Quirino 2-C,Barangay,"3,189"
Quirino 3-A,Barangay,"1,070"
Ramon Magsaysay,Barangay,"14,321"
Roxas,Barangay,"10,670"
Sacred Heart,Barangay,"6,089"
Saint Ignatius,Barangay,"2,054"
Saint Peter,Barangay,"4,049"
Salvacion,Barangay,"6,681"
San Agustin,Barangay,"25,355"
San Antonio,Barangay,"22,229"
San Bartolome,Barangay,"51,148"
Sangandaan,Barangay,"21,061"
San Isidro,Barangay,"6,550"
San Isidro Labrador,Barangay,"6,247"
San Jose,Barangay,"5,844"
San Martin De Porres,Barangay,"11,632"
San Roque,Barangay,"19,093"
Santa Cruz,Barangay,"3,945"
Santa Lucia,Barangay,"28,215"
Santa Monica,Barangay,"51,834"
Santa Teresita,Barangay,"11,776"
Santo Cristo,Barangay,"25,783"
Santo Domingo (Matalahib),Barangay,"11,476"
Santol,Barangay,"6,410"
Santo Niño,Barangay,"7,070"
San Vicente,Barangay,"7,160"
Sauyo,Barangay,"76,289"
Sienna,Barangay,"2,072"
Sikatuna Village,Barangay,"6,121"
Silangan,Barangay,"4,831"
Socorro,Barangay,"22,227"
South Triangle,Barangay,"14,494"
Tagumpay,Barangay,"2,257"
Talayan,Barangay,"4,402"
Talipapa,Barangay,"38,949"
Tandang Sora,Barangay,"83,114"
Tatalon,Barangay,"55,404"
Teachers Village East,Barangay,"2,401"
Teachers Village West,Barangay,"2,986"
Ugong Norte,Barangay,"6,301"
Unang Sigaw,Barangay,"6,508"
U.P. Campus,Barangay,"47,127"
U.P. Village,Barangay,"3,167"
Valencia,Barangay,"10,900"
Vasra,Barangay,"7,345"
Veterans Village,Barangay,"12,755"
Villa Maria Clara,Barangay,"2,442"
West Kamias,Barangay,"4,055"
West Triangle,Barangay,"2,431"
White Plains,Barangay,"3,558"
Quezon City,City,"2,960,048"
